https,iframe,ip,length_hostname,length_url,nb_and,nb_at,nb_dots,nb_hyphens,nb_percent,nb_underscore,num_subdomains,popup_window,submit_email,label
1,0,0,19,37,0,0,3,0,0,0,1,0,0,0
1,0,1,23,77,0,0,1,0,0,0,0,0,0,1
0,0,1,50,126,2,0,4,1,0,2,3,0,0,1
1,0,0,11,18,0,0,2,0,0,0,1,0,0,0
1,0,0,15,55,0,0,2,2,0,0,1,0,0,0
1,0,0,24,32,0,0,3,1,0,0,2,0,0,1
1,0,0,12,19,0,0,2,0,0,0,1,0,0,0
1,0,1,27,81,0,0,2,0,0,0,1,0,0,1
1,0,0,34,42,0,0,2,0,0,0,1,0,0,0
0,0,0,10,104,0,0,1,10,0,0,0,0,0,0
0,0,0,22,56,0,0,3,0,0,1,1,0,0,0
0,0,0,16,43,0,0,2,3,0,0,1,0,0,0
0,0,0,14,83,0,0,1,9,0,0,0,0,0,0
1,0,0,10,31,0,0,2,0,0,0,0,0,0,1
0,0,0,16,25,0,0,2,0,0,0,1,0,0,0
1,0,0,23,51,0,0,3,0,0,0,2,0,0,1
0,0,0,22,31,0,0,2,0,0,0,1,0,0,0
1,0,0,21,50,0,0,2,0,0,0,1,0,0,1
1,0,0,23,34,0,0,2,0,0,0,1,0,0,1
1,0,0,19,27,0,0,2,0,0,0,1,0,0,0
1,0,0,14,63,0,0,3,2,0,0,2,0,0,0
0,0,0,16,66,0,0,2,4,0,0,1,0,0,0
1,0,0,11,40,0,0,2,0,0,0,0,0,0,1
1,0,0,16,48,0,0,1,3,0,0,0,0,0,0
1,0,1,50,126,2,0,4,1,0,2,3,0,0,1
0,0,0,32,41,0,0,2,0,0,0,1,0,0,1
0,0,0,27,36,0,0,2,0,0,0,1,0,0,0
1,0,0,24,72,0,0,2,7,0,0,1,0,0,0
1,0,1,42,68,0,0,4,0,0,0,3,0,0,1
1,0,1,14,163,2,1,4,9,0,0,1,0,0,1
1,0,0,18,26,0,0,2,0,0,0,1,0,0,0
1,0,1,17,64,0,0,2,0,0,0,1,0,0,1
1,0,1,28,36,0,0,4,0,0,0,3,0,0,1
1,0,0,14,61,0,0,2,0,0,1,0,0,0,1
0,0,1,17,66,0,0,2,0,0,0,1,0,0,0
0,0,0,26,35,0,0,2,0,0,0,1,0,0,0
1,0,0,24,113,0,0,5,0,0,2,0,0,0,1
1,0,0,34,41,0,0,2,4,0,0,1,0,0,0
1,0,0,12,23,0,0,2,1,0,0,1,0,0,0
1,0,0,24,31,0,0,2,1,0,0,1,0,0,0
1,0,0,30,84,0,0,2,2,0,0,0,0,0,1
1,0,0,17,29,0,0,2,0,0,0,1,0,0,1
1,0,1,26,98,0,0,2,2,0,0,1,0,0,1
1,0,0,8,15,0,0,1,0,0,0,0,0,0,0
1,0,0,22,65,0,0,2,0,0,4,1,0,0,0
0,0,0,27,131,0,0,2,1,0,4,1,0,0,1
0,0,0,23,50,0,0,2,1,0,0,1,0,0,0
1,0,0,32,51,0,0,2,0,0,0,1,0,0,1
0,0,0,11,45,0,0,3,0,0,0,1,0,0,0
1,0,1,14,159,1,0,2,0,0,0,0,0,0,1
0,0,1,22,44,0,0,2,1,0,0,1,0,0,1
0,0,0,19,103,0,1,3,1,0,0,1,0,0,1
1,0,0,20,46,0,0,4,0,0,0,2,0,0,1
0,0,0,16,45,0,0,2,0,0,1,1,0,0,0
1,0,0,26,51,0,0,3,0,0,0,2,0,0,1
1,0,0,19,38,0,0,3,0,0,0,1,0,0,1
1,0,1,27,81,0,0,2,0,0,0,1,0,0,1
1,0,0,31,112,0,0,2,10,0,0,1,0,0,0
0,0,0,16,39,0,0,2,0,0,0,1,0,0,1
0,0,0,15,99,0,0,2,2,0,2,1,0,0,1
0,0,0,27,45,0,0,2,1,0,0,1,0,0,0
1,0,0,35,60,0,0,5,1,0,0,3,0,0,1
1,0,0,19,74,0,0,3,0,0,3,1,0,0,0
1,0,0,18,61,0,0,3,3,0,0,1,0,0,0
0,0,0,32,40,0,0,4,0,0,0,3,0,0,1
1,0,0,24,52,0,0,3,0,0,0,1,0,0,1
0,0,0,24,88,0,1,7,1,0,0,2,0,0,1
1,0,0,12,74,0,0,2,0,1,0,0,0,0,0
1,0,0,16,46,0,0,2,1,0,1,1,0,0,0
1,0,0,17,54,0,0,3,0,0,0,1,0,0,0
1,0,0,21,54,0,0,1,1,0,0,0,0,0,1
0,0,0,16,38,0,0,2,0,0,1,1,0,0,0
1,0,0,15,67,0,0,2,3,0,0,1,0,0,0
1,0,0,13,62,0,0,5,1,0,0,0,0,0,1
1,0,0,17,59,0,0,3,0,0,0,0,0,0,1
0,0,0,38,57,0,0,4,0,0,0,2,0,0,1
1,0,0,12,32,0,0,1,1,0,0,0,0,0,0
1,0,0,25,46,0,0,2,0,0,0,1,0,0,1
0,0,0,16,37,0,0,2,0,0,0,1,0,0,0
1,0,0,29,36,0,0,2,0,0,0,1,0,0,1
1,0,0,18,52,0,0,2,0,0,0,0,0,0,1
1,0,1,24,32,0,0,2,0,0,0,1,0,0,1
0,0,0,11,34,0,0,1,0,0,0,0,0,0,0
1,0,0,19,27,0,0,3,0,0,0,2,0,0,0
1,0,1,22,92,0,0,2,1,0,0,1,0,0,1
1,0,0,12,102,0,0,2,7,0,0,1,0,0,0
0,0,0,23,32,0,0,2,0,0,0,1,0,0,0
0,0,0,20,29,0,0,2,0,0,0,1,0,0,0
1,0,0,24,119,0,0,4,1,0,2,1,0,0,1
0,0,0,21,59,0,0,2,0,0,0,1,0,0,0
1,0,0,19,54,0,0,2,2,0,0,0,0,0,0
1,0,1,10,151,0,1,3,1,0,0,0,0,0,1
1,0,0,25,84,0,0,3,5,0,0,1,1,0,0
1,0,0,10,55,0,0,3,1,0,0,1,0,0,1
0,0,0,9,18,0,0,1,0,0,0,0,0,0,0
0,0,0,16,39,0,0,2,0,0,0,1,0,0,0
0,0,0,19,28,0,0,2,1,0,0,1,0,0,0
1,0,0,16,32,0,0,3,1,0,0,1,0,0,0
1,0,0,9,16,0,0,1,0,0,0,0,0,0,0
1,0,0,12,23,0,0,1,0,0,0,0,0,0,1
1,0,0,21,29,0,0,3,0,0,0,2,0,0,0
0,0,0,20,29,0,0,2,0,0,0,1,0,0,1
0,0,0,15,41,0,0,2,0,0,0,1,0,0,0
0,0,0,6,22,0,0,1,0,0,0,0,0,0,1
1,0,0,14,52,0,0,3,0,1,0,1,0,0,1
1,0,0,20,38,0,0,3,0,0,0,1,0,0,1
0,0,0,21,30,0,0,3,0,0,0,2,0,0,0
1,0,1,50,76,0,0,4,1,0,0,3,0,0,1
1,0,1,13,430,9,1,24,0,0,18,2,0,0,1
1,0,0,19,37,0,0,2,0,0,0,1,0,0,0
1,0,0,23,73,0,0,3,5,0,0,1,0,0,0
1,0,0,15,56,0,0,2,0,3,0,1,0,0,1
0,0,0,13,70,0,0,1,7,0,0,0,0,0,0
1,0,0,20,70,0,0,3,0,0,1,1,0,0,1
1,0,0,19,52,0,0,2,1,0,0,1,0,0,0
0,0,0,22,31,0,0,2,1,0,0,1,0,0,0
0,0,1,19,90,0,0,4,0,0,0,1,0,0,1
1,0,1,15,45,0,0,3,0,0,0,1,0,0,0
1,0,0,20,55,0,0,3,0,0,1,1,0,0,0
1,0,0,12,65,0,0,3,2,0,0,1,0,0,1
1,0,0,33,41,0,0,2,1,0,0,1,0,0,1
0,0,1,25,71,0,0,2,1,0,1,0,0,0,1
0,0,0,16,83,0,0,2,0,0,0,1,0,0,1
1,0,1,18,73,0,0,1,1,0,0,0,0,0,1
1,0,0,30,44,0,0,2,2,0,0,1,0,0,1
1,0,0,16,114,0,0,4,1,0,0,1,0,0,1
0,0,1,50,127,2,0,4,1,0,2,3,0,0,1
1,0,0,20,99,0,1,4,0,0,0,1,0,0,1
1,0,0,20,56,0,0,2,1,0,0,1,0,0,1
0,0,0,17,51,0,0,3,0,0,0,1,0,0,0
1,0,0,14,51,0,0,5,0,0,0,1,0,0,1
0,0,0,24,40,0,0,2,1,0,0,1,0,0,0
1,0,0,14,33,0,0,3,0,0,0,2,0,0,1
0,0,0,20,88,0,0,2,5,0,0,1,0,0,0
0,0,0,18,122,0,0,2,0,0,13,1,0,0,0
1,0,0,20,53,0,0,3,0,0,0,1,0,0,0
0,0,0,37,46,0,0,6,1,0,0,5,0,0,1
1,0,0,29,36,0,0,2,0,0,0,1,0,0,1
1,0,0,23,31,0,0,2,0,0,0,1,0,0,0
0,0,0,16,48,0,0,2,2,0,0,1,0,0,0
